id,description
106,"Koperta z zabezpieczeniem powietrznym I/19, o wymiarach 300 x 445 mm, biala, klejona na krótszym boku, papier uzyty do produkcji kopert nie moze pochodzic z recyklingu"
107,"Koperta z zabezpieczeniem powietrznym K/20, o wymiarach 350 x 470, biala, klejona na krótszym boku, papier uzyty do produkcji kopert nie moze pochodzic z recyklingu"
108,"Koperta z zabezpieczeniem powietrznym D/14, o wymiarach 180 x 265 mm, biala, klejona na krótszym boku, papier uzyty do produkcji kopert nie moze pochodzic z recyklingu"
109,"Koperta z zabezpieczeniem powietrznym G/17, o wymiarach 230 x 340 mm, biala, klejona na krótszym boku, papier uzyty do produkcji kopert nie moze pochodzic z recyklingu"
110,"Koperta z zabezpieczeniem powietrznym H/18, o wymiarach 270 x 360 mm, biala, klejona na krótszym boku, papier uzyty do produkcji kopert nie moze pochodzic z recyklingu"
111,"Korektor w pisaku, szybkoschnacy, nie gestniejacy i nie wysychajacy plyn korygujacy, metalowa koncówka z weglika wolframu, pojemnosc 8 ml,"
112,"Korektor w tasmie 4,2x9m nie pozostawia sladów na kserokopiach, odporny na swiatlo.Szybkoschnaca koncówka korektorujaca wyposazona w zatyczke"
113,"Kostka biala nie klejona, papierowa, rozmiar 83 x 83 x 75 mm, foliowana, bedaca wkladem do pojemnika"
114,"Kostka biala w pudelku nie klejona, papierowa , rozmiar 83 x 83 x 75 mm, foliowana, umieszczona w pudelku plastikowym, dajace mozliwosc wielokrotnej wymiany wkladu"
115,"Kostka kolorowa klejona z jednej strony, papierowa, rozmiar 85 x 85 x 75 mm, foliowana,zawiera 700 karteczek"
116,"Kostka kolorowa w pudelku nie klejona, papierowa, rozmiar 83 x 83 x 75 mm, foliowana, umieszczona w pudelku plastikowym, dajace mozliwosc wielokrotnej wymiany wkladu"
117,"Koszulka otwierana z góry, krystaliczna, przezroczysta oraz antystatyczna folia, folia polipropylenowa, antyelektrostatyczna, wzmocniony dziurkowany brzeg, grubosc 50 mic, format A4 , op. 100 szt./ folia"
118,"Koszulka otwierana z góry, przezroczysta groszkowa struktura folii, folia polipropylenowa, wzmocniony dziurkowany brzeg, grubosc 50 mic, op. 100 szt./folia"
119,"Koszulka otwierana z góry, przezroczysta groszkowa struktura folii, folia polipropylenowa, wzmocniony dziurkowany brzeg, 90 mic, format A5, op. 100 szt./folia (wlasna konfekcja)"
